disease,overview ,causes,symptoms ,precautions ,home_treatment ,awareness ,who_guidelines
Rabies,A deadly virus spread to people from the saliva of infected animals. The rabies virus is usually transmitted through a bite.,"Rabies is caused by a lyssavirus that infects the central nervous system. In the vast majority of human cases, the virus is transmitted by a dog bite. It can also be transmitted by other mammals, such as bats, raccoons, and foxes.","Early symptoms can be very similar to the flu, including fever, headache, and general weakness. As the disease progresses, more specific symptoms appear and may include insomnia, anxiety, confusion, paralysis, hallucinations, and hydrophobia (fear of water).","Vaccinating pets (especially dogs) is the most effective way to prevent rabies in people. Avoid contact with wild animals. If you work with animals or travel to high-risk areas, consider pre-exposure vaccination. After a potential exposure, immediate wound washing and post-exposure prophylaxis (PEP) are crucial.","**Disclaimer:** Rabies is a medical emergency. There is no home treatment. If you are bitten or scratched by an animal that could have rabies, you must wash the wound thoroughly with soap and water and seek immediate medical attention to receive PEP.","Once clinical symptoms of rabies appear, the disease is nearly always fatal. That is why post-exposure prophylaxis (PEP) is so critical. It is highly effective at preventing the disease if given promptly after exposure.","WHO leads global efforts to eliminate human deaths from dog-mediated rabies by 2030. The strategy focuses on mass dog vaccination, ensuring access to post-exposure prophylaxis for bite victims, and increasing public awareness."
Rectal Prolapse,"A medical condition in which the rectum (the last part of the large intestine) loses its normal attachments inside the body and turns itself 'inside out,' protruding through the anus.","The exact cause is not always clear, but it is often associated with conditions that increase pressure in the abdomen. Risk factors include chronic straining from constipation, damage from childbirth, weakness of the pelvic floor muscles with age, and previous pelvic surgery.","The main symptom is the feeling or sight of a reddish-colored mass protruding from the anus, especially after a bowel movement. Other symptoms can include fecal incontinence, constipation, and a feeling of incomplete evacuation.","Preventing constipation and straining is the most important step. Eat a high-fiber diet, drink plenty of fluids, and get regular exercise. If you have to strain, pelvic floor exercises (Kegels) may help strengthen the muscles.",**Disclaimer:** Rectal prolapse should be evaluated by a doctor. Treatment often requires surgery. Home care before or after treatment involves managing constipation with diet and fiber supplements to avoid straining.,"Rectal prolapse can be uncomfortable and distressing, significantly affecting quality of life. It is more common in older women. While not life-threatening, it is a progressive condition that usually requires surgical correction.",WHO does not have specific guidelines for rectal prolapse but promotes healthy aging and the management of chronic conditions. Their recommendations on diet and exercise for overall health can help in preventing risk factors like constipation.
Renal Failure (Kidney Failure),A condition in which the kidneys lose the ability to remove waste and balance fluids. It can be acute (sudden) or chronic (occurring over time).,"Acute kidney failure can be caused by a sudden event that damages the kidneys, such as an injury, severe dehydration, or a severe infection. Chronic kidney failure is most often caused by long-term diseases like high blood pressure and diabetes.","Symptoms of chronic kidney failure develop slowly and may not be apparent until the disease is advanced. They can include nausea, vomiting, loss of appetite, fatigue, swelling in the ankles and feet, and changes in urination.","The best way to prevent chronic kidney failure is to manage the underlying conditions that cause it. This includes controlling blood pressure and blood sugar, not smoking, maintaining a healthy weight, and using medications like NSAIDs cautiously.","**Disclaimer:** Kidney failure is a serious condition requiring management by a nephrologist. Treatment options include dialysis or a kidney transplant. Home care involves strictly following dietary restrictions (often limiting salt, potassium, and phosphorus) and fluid intake limits prescribed by the doctor.",Chronic kidney disease often has no symptoms in its early stages. That's why screening is important for people with risk factors like diabetes and high blood pressure. Early detection can help slow the progression of the disease.,"WHO addresses kidney failure as part of its global action plan for the prevention and control of noncommunicable diseases (NCDs). The strategy focuses on managing the main drivers of chronic kidney disease, namely diabetes and hypertension."
Respiratory Syncytial Virus (RSV) Infection,"A common respiratory virus that usually causes mild, cold-like symptoms. Most people recover in a week or two, but RSV can be serious, especially for infants and older adults.","RSV is a contagious virus that spreads through respiratory droplets when an infected person coughs or sneezes. It can also survive on surfaces, so it can be picked up by touching a contaminated surface and then touching your face.","In adults and older children, symptoms are usually those of a common cold: runny nose, sore throat, cough, and headache. In young infants, it can cause more severe illness like bronchiolitis or pneumonia, with symptoms like wheezing and difficulty breathing.","To prevent RSV, wash your hands often, avoid touching your face, clean frequently touched surfaces, and avoid close contact with sick people. There is now a vaccine available for older adults and an antibody product to protect infants.","**Disclaimer:** Severe RSV requires medical attention. For mild cases, treatment is supportive. Use a cool-mist humidifier, saline nasal drops to clear congestion, and ensure the person (especially an infant) stays hydrated. Over-the-counter pain and fever reducers can be used.",RSV is the most common cause of bronchiolitis and pneumonia in children younger than 1 year of age in the United States. Almost all children will have had an RSV infection by their second birthday.,WHO monitors RSV disease burden globally and supports research and development of vaccines and therapeutics. They provide guidance to countries on surveillance and prevention strategies for this important respiratory pathogen.
Restless Legs Syndrome (RLS),"A condition that causes an uncontrollable urge to move your legs, usually because of an uncomfortable sensation. It typically happens in the evening or nighttime hours when you're sitting or lying down. Moving eases the unpleasant feeling temporarily.","The cause is often unknown. In some cases, it may be due to a genetic component. It can also be caused or worsened by other conditions, such as iron deficiency, kidney failure, or neuropathy. Pregnancy can also trigger RLS.","The hallmark symptom is an overwhelming urge to move the legs, accompanied by unpleasant crawling, creeping, or pulling sensations. Symptoms are worse at rest, especially in the evening, and are relieved by movement.","There's no definite prevention. However, certain lifestyle changes can help manage symptoms. This includes avoiding caffeine, alcohol, and tobacco. Establishing a regular sleep pattern is also important.","**Disclaimer:** RLS should be evaluated by a doctor to rule out underlying causes like iron deficiency. Home management includes taking warm baths, massaging the legs, and applying warm or cool packs. Regular, moderate exercise and leg stretches can also provide relief.","RLS can interfere with sleep, leading to daytime sleepiness and fatigue. It can significantly impact quality of life. It is a real neurological disorder, not just 'nervousness.'","WHO recognizes neurological disorders as a major cause of disability worldwide. While RLS is not a primary focus, WHO's work on promoting healthy lifestyles and managing underlying conditions like iron deficiency can help in the management of RLS symptoms."
Retinoblastoma,"A rare type of eye cancer that usually develops in early childhood, typically before the age of 5. It begins in the retina, the sensitive lining on the inside of your eye.",Retinoblastoma occurs when nerve cells in the retina develop genetic mutations. These mutations cause the cells to grow and multiply out of control. It can be inherited from a parent or occur sporadically without any family history.,"The most common sign is a white glow in the pupil (leukocoria), which is most often noticed in photographs taken with a flash. Other signs can include crossed eyes (strabismus), poor vision, and redness or swelling of the eye.","There is no known way to prevent retinoblastoma. For families with a known history of the disease, genetic counseling and regular eye exams for children from birth can help detect the cancer at its earliest, most treatable stage.",**Disclaimer:** Retinoblastoma is a serious cancer that requires specialized medical treatment from an ophthalmologist and oncologist. There are no home remedies. The goal of treatment is to cure the cancer while saving as much vision as possible.,Retinoblastoma has a very high cure rate (over 95%) if it is diagnosed and treated early while the cancer is still within the eye. Awareness of the 'white glow' in photos is crucial for early detection by parents.,"WHO, through initiatives like the Global Initiative for Childhood Cancer, aims to improve outcomes for children with cancer worldwide. This includes promoting early diagnosis, access to quality treatment, and supportive care for rare childhood cancers like retinoblastoma."
Rheumatic Fever,"An inflammatory disease that can develop as a complication of inadequately treated strep throat or scarlet fever. It can cause permanent damage to the heart, known as rheumatic heart disease.","It is caused by an autoimmune reaction to an infection with group A streptococcus bacteria. The body's immune system, while fighting the strep infection, mistakenly attacks its own tissues, particularly in the heart, joints, brain, and skin.","Symptoms include fever, painful and tender joints (arthritis), fatigue, and sometimes a characteristic rash or small, painless nodules under the skin. The most serious symptom is inflammation of the heart (carditis), which can be life-threatening.",The only way to prevent rheumatic fever is to treat strep throat and scarlet fever infections promptly and thoroughly with a full course of antibiotics as prescribed by a doctor.,"**Disclaimer:** Rheumatic fever requires immediate medical treatment with antibiotics and anti-inflammatory medications. Home care is supportive, involving strict bed rest as advised by the doctor to reduce the strain on the heart, and following all medication schedules.",Rheumatic fever is most common in children aged 5 to 15. It is rare in developed countries but remains a significant problem in many developing nations. The heart damage it causes can lead to serious health problems later in life.,"WHO works to prevent and control rheumatic fever and rheumatic heart disease, particularly in low-resource settings. Their strategy focuses on the primary prevention (treating strep throat) and secondary prevention (long-term antibiotics for those who've had rheumatic fever) to prevent heart damage."
Rheumatoid Arthritis (RA),"A chronic inflammatory disorder that can affect more than just your joints. In some people, the condition can damage a wide variety of body systems, including the skin, eyes, lungs, heart, and blood vessels. It is an autoimmune disorder.","RA occurs when your immune system mistakenly attacks your own body's tissues. It attacks the lining of your joints (synovium), causing painful swelling that can eventually result in bone erosion and joint deformity. The exact cause is unknown, but genetics and environmental triggers are involved.","Symptoms include tender, warm, swollen joints, joint stiffness that is usually worse in the mornings and after inactivity, fatigue, fever, and loss of appetite. RA typically affects joints on both sides of the body (symmetrically).","There is no known way to prevent RA. However, some factors, like smoking, are associated with a higher risk. Maintaining a healthy lifestyle is beneficial for overall health but is not proven to prevent RA.","**Disclaimer:** RA requires management by a rheumatologist. Home care can help manage symptoms. Low-impact exercise (like swimming) can improve range of motion. Applying cold packs can reduce inflammation during flares, while heat can help relax muscles. A balanced diet and stress management are also important.","Rheumatoid arthritis is a systemic disease, meaning it can affect the whole body. Early diagnosis and aggressive treatment are crucial to control the disease, relieve symptoms, and prevent joint damage and long-term disability.","WHO recognizes the significant burden of musculoskeletal conditions like RA. It promotes access to early diagnosis, effective treatments (including affordable biologic drugs), and rehabilitation services to improve the quality of life for people living with RA."
Rickets,A condition in children that results in soft and weakened bones. It is caused by an extreme and prolonged deficiency of vitamin D.,"The body needs vitamin D to absorb calcium and phosphorus from food. A lack of vitamin D makes it difficult to maintain proper calcium and phosphorus levels in bones, which can cause rickets. It can also be caused by rare genetic or kidney diseases.","Signs and symptoms can include delayed growth, pain in the spine, pelvis and legs, muscle weakness, and skeletal deformities such as bowed legs, thickened wrists and ankles, and breastbone projection.","Preventing rickets involves ensuring that children get enough vitamin D and calcium. This can come from sun exposure (which helps the body produce vitamin D), foods rich in vitamin D and calcium (like fortified milk and fatty fish), and supplements if recommended by a doctor.","**Disclaimer:** Rickets must be diagnosed and treated by a healthcare provider, usually with vitamin D and calcium supplements. Home care involves providing a diet rich in these nutrients. Following the doctor's instructions for supplementation is crucial.","Rickets was once common but became rare in developed countries due to the fortification of milk and other foods with vitamin D. However, it is still seen, especially in breastfed infants who are not given vitamin D supplements.","WHO addresses rickets as part of its global nutrition strategies, which focus on preventing micronutrient deficiencies. They provide guidelines on vitamin D and calcium intake for infants and children to prevent deficiency-related diseases."
Ringworm (Tinea Infection),"A common skin infection that is caused by a fungus, not a worm. It's called 'ringworm' because it can cause a circular, ring-shaped rash that is usually red and itchy.","It is caused by a type of fungus called dermatophytes. The infection is contagious and can be spread through direct skin-to-skin contact with an infected person or animal, or by touching contaminated objects like towels, clothing, or floors.","Symptoms depend on the location of the infection. On the skin (tinea corporis), it causes a red, itchy, circular rash. On the scalp (tinea capitis), it can cause scaly patches and hair loss. On the feet, it's called athlete's foot (tinea pedis).","To prevent ringworm, keep your skin clean and dry. Avoid sharing personal items like towels, combs, and clothing. Wear shoes in public showers and locker rooms. If you have a pet, check them for signs of ringworm (patches of missing fur).","Over-the-counter antifungal creams, lotions, or powders are usually effective for ringworm on the skin. It is important to continue treatment for the recommended time, even if the rash disappears, to ensure the fungus is gone. For scalp ringworm, prescription oral medication is needed.",Ringworm is a common and treatable fungal infection. Good hygiene is the best way to prevent it from spreading. It is important to treat it properly to prevent it from spreading to other parts of your body or to other people.,"WHO includes fungal infections like ringworm in its surveillance of communicable diseases. Public health guidance focuses on hygiene, sanitation, and the availability of effective antifungal treatments."
Rosacea,"A common skin condition that causes redness and visible blood vessels in your face. It may also produce small, red, pus-filled bumps. These signs and symptoms may flare up for weeks to months and then go away for a while.","The cause of rosacea is unknown, but it could be due to a combination of hereditary and environmental factors. A number of factors can trigger or aggravate rosacea by increasing blood flow to the surface of your skin. Triggers include hot drinks, spicy foods, alcohol, sunlight, and stress.","Symptoms include facial redness or flushing, visible blood vessels (telangiectasia), swollen red bumps (which may contain pus), and eye problems (ocular rosacea). In some cases, rosacea can cause the skin on the nose to thicken (rhinophyma).","There is no way to prevent rosacea, but you can control symptoms by identifying and avoiding your personal triggers. Sun protection is very important, as sunlight is a common trigger. Gentle skin care is also key.","**Disclaimer:** A dermatologist should manage rosacea. Home care involves using a gentle, non-abrasive cleanser and a good moisturizer. Use a broad-spectrum sunscreen daily. Learning and avoiding personal triggers is the most important self-care step.","Rosacea can be mistaken for acne or other skin problems. It is a chronic condition with no cure, but treatments and lifestyle changes can help control and reduce the signs and symptoms and prevent it from getting worse.","WHO does not have specific programs for rosacea but includes it in the broad category of dermatological conditions. Their work on promoting healthy environments (e.g., protection from UV radiation) can be beneficial for people with rosacea."
Rubella (German Measles),"A contagious viral infection best known by its distinctive red rash. It is generally a mild illness in children and adults. However, it is very dangerous for a pregnant woman's developing baby.","It is caused by the rubella virus. It spreads when an infected person coughs or sneezes, or through direct contact with respiratory secretions.","Symptoms are often mild and may include a low-grade fever, sore throat, and a rash that starts on the face and spreads to the rest of the body. Swollen lymph nodes behind the ears and in the neck are common.",The best protection against rubella is the measles-mumps-rubella (MMR) vaccine. The vaccine is safe and highly effective. Vaccination is especially important for women of childbearing age to prevent congenital rubella syndrome.,"**Disclaimer:** A doctor should diagnose rubella. Treatment is supportive, as there is no specific medication. Rest and over-the-counter medications for fever or aches can help. Infected individuals should stay away from others, especially pregnant women, to prevent spread.","The greatest danger from rubella is Congenital Rubella Syndrome (CRS), which can occur when a pregnant woman is infected. CRS can cause severe birth defects, including deafness, cataracts, heart defects, and developmental delay in the unborn baby.",WHO strongly advocates for rubella vaccination to be included in all national immunization programs to prevent CRS. They lead global surveillance and support vaccination campaigns as part of the Measles & Rubella Initiative.
Salmonella Infection,A common bacterial disease that affects the intestinal tract. Salmonella bacteria typically live in animal and human intestines and are shed through feces. Humans become infected most frequently through contaminated water or food.,"It is caused by Salmonella bacteria. People are usually infected by eating raw or undercooked meat, poultry, and eggs, or by consuming unpasteurized milk. It can also be spread through poor hygiene (not washing hands after using the bathroom).","Symptoms usually begin 12 to 72 hours after infection and include diarrhea, fever, and abdominal cramps. Most healthy people recover within a few days to a week without specific treatment.","To prevent salmonella, cook poultry, ground beef, and eggs thoroughly. Avoid eating raw eggs or unpasteurized dairy products. Wash hands, kitchen surfaces, and utensils with soap and water after they have been in contact with raw meat or poultry.",**Disclaimer:** Most cases resolve on their own. The main focus is on replacing fluids and electrolytes lost through diarrhea to prevent dehydration. Oral rehydration solutions are recommended. Medical attention is needed if there are signs of severe dehydration or if the infection spreads.,"While most people recover fully, some may develop complications like reactive arthritis. The infection can be more serious in young children, older adults, and people with weakened immune systems, and may require antibiotics.","WHO works to prevent and control foodborne diseases like salmonellosis through its 'farm to table' safety initiatives. This includes setting international food safety standards, promoting safe food handling education, and strengthening disease surveillance systems."
Sarcoidosis,An inflammatory disease characterized by the formation of tiny collections of inflammatory cells (granulomas) in any part of your body — most commonly the lungs and lymph nodes.,"The exact cause of sarcoidosis is unknown. It's thought to be an immune system disorder, possibly triggered by an infection or exposure to something in the environment in people who are genetically predisposed.","Symptoms vary depending on which organs are affected. General symptoms include fatigue, fever, and weight loss. If it affects the lungs (the most common site), symptoms may include a persistent dry cough, shortness of breath, and chest pain.","Because the cause is unknown, there is no way to prevent sarcoidosis. The goal is early diagnosis and management to control symptoms and prevent organ damage.","**Disclaimer:** Sarcoidosis requires management by a specialist, such as a pulmonologist or rheumatologist. There is no home remedy. A healthy lifestyle with a balanced diet and regular exercise is important for overall well-being. Avoiding smoking is crucial if the lungs are affected.","The course of sarcoidosis is variable. For many people, it goes away on its own. For others, it can be a chronic condition that lasts for years and causes organ damage. Treatment, often with corticosteroids, aims to reduce inflammation.","WHO does not have a specific program for sarcoidosis, as it is a relatively rare, non-communicable disease of unknown cause. However, its work on strengthening health systems contributes to better diagnosis and management of such complex conditions."
Scabies,An itchy skin condition caused by a tiny burrowing mite called Sarcoptes scabiei. The intense itching occurs in the area where the mite burrows. The urge to scratch may be especially strong at night.,"It is caused by an infestation of the human itch mite. The mites burrow into the top layer of skin to live and lay their eggs. Scabies is highly contagious and spreads quickly through close physical contact in a family, school, or nursing home.","The primary symptoms are intense itching, especially at night, and a pimple-like skin rash. The burrow tracks of the mite may sometimes be visible on the skin as tiny raised, crooked lines.","To prevent scabies, avoid direct skin-to-skin contact with an infected person or with items such as their clothing or bedding. Prompt treatment of an infected person is crucial to prevent spread to others.","**Disclaimer:** Scabies must be treated with prescription medications (scabicides) that kill the mites. It will not go away on its own. It is essential to treat all members of the household and close contacts at the same time, even if they don't have symptoms. Wash all bedding and clothing in hot water.","Scabies is not a sign of poor hygiene. Anyone can get it. The itching is caused by an allergic reaction to the mites, their eggs, and their waste. It can take 4-6 weeks for symptoms to appear after the first infestation.","WHO recognizes scabies as a neglected tropical disease. It can lead to secondary bacterial infections like impetigo, which in turn can cause more serious complications like kidney disease. WHO works to map the global burden and promote access to affordable treatment."
Scarlet Fever,A bacterial illness that develops in some people who have strep throat. It's characterized by a bright red rash that covers most of the body. Scarlet fever is almost always accompanied by a sore throat and a high fever.,It is caused by the same type of bacteria that causes strep throat: group A Streptococcus. The bacteria release a toxin that produces the rash and red tongue. It spreads through respiratory droplets from an infected person's coughs or sneezes.,"Symptoms include a very red, sore throat, a fever of 101 F (38.3 C) or higher, and a red rash with a sandpaper-like feel. A flushed face with a pale ring around the mouth and a 'strawberry tongue' (red and bumpy) are also characteristic signs.",The best way to prevent scarlet fever is to prevent the spread of strep throat. Practice good hand hygiene. Do not share eating utensils or drinking glasses. A person with strep throat or scarlet fever should stay home from school or work to avoid spreading the infection.,"**Disclaimer:** Scarlet fever must be treated with a full course of antibiotics prescribed by a doctor. This is crucial to prevent serious long-term complications like rheumatic fever. Home care includes rest, drinking fluids, and using a cool-mist humidifier.","With antibiotic treatment, scarlet fever is no longer the dangerous disease it once was. However, it is essential to complete the entire course of antibiotics to prevent the bacteria from causing complications, especially rheumatic fever which can damage the heart.","WHO's strategies to combat group A streptococcal infections, including the promotion of prompt diagnosis and appropriate antibiotic treatment for strep throat, are key to preventing scarlet fever and its severe complication, rheumatic fever."
Schizophrenia,"A serious mental disorder in which people interpret reality abnormally. Schizophrenia may result in some combination of hallucinations, delusions, and extremely disordered thinking and behavior that impairs daily functioning, and can be disabling.","The exact cause is unknown, but a combination of genetics, brain chemistry (an imbalance of neurotransmitters like dopamine), and environmental factors is believed to contribute to the development of the disorder.","Symptoms are categorized as 'positive' (hallucinations, delusions, thought disorders), 'negative' (reduced expression of emotions, lack of motivation), and 'cognitive' (problems with attention, concentration, and memory).","There is no known way to prevent schizophrenia. However, early diagnosis and treatment can help get symptoms under control before serious complications develop and may help improve the long-term outlook. Recognizing the early warning signs is key.","**Disclaimer:** Schizophrenia requires lifelong treatment, even when symptoms have subsided. Treatment, usually managed by a psychiatrist, involves a combination of medications (antipsychotics) and psychosocial therapy. A stable home environment and strong family support are critical.",Schizophrenia is not a split personality. It is a chronic and severe mental illness. Stigma and misunderstanding can be major barriers to treatment and recovery. People with schizophrenia are more likely to be victims of violence than perpetrators.,"WHO's Mental Health Action Plan works to transform services for mental health globally. It advocates for community-based care, protection of human rights, and evidence-based treatment for people with severe mental disorders like schizophrenia."
Scoliosis,"A sideways curvature of the spine that occurs most often during the growth spurt just before puberty. While scoliosis can be caused by conditions such as cerebral palsy and muscular dystrophy, the cause of most childhood scoliosis is unknown.","Most cases are idiopathic, meaning they have no known cause. It tends to run in families, suggesting a genetic link. Less common types may be caused by neuromuscular conditions, birth defects affecting the development of the bones of the spine, or injuries to the spine.","The most common signs are uneven shoulders, one shoulder blade that appears more prominent than the other, an uneven waist, and one hip higher than the other. Back pain is not a common symptom in adolescents.",There is no known way to prevent the most common type of scoliosis. Early detection through school screening programs or regular check-ups can help identify the condition so it can be monitored.,"**Disclaimer:** Scoliosis is managed by an orthopedic specialist. Treatment depends on the severity of the curve and may include observation, bracing (to prevent the curve from getting worse), or surgery. Home care involves performing any prescribed exercises and wearing a brace as directed.","Most cases of scoliosis are mild and don't require treatment. However, severe scoliosis can be disabling. A severe spinal curve can reduce the amount of space within the chest, making it difficult for the lungs to function properly.","WHO does not have a specific program for scoliosis, but it is covered under its broader work on child and adolescent health and disability. Promoting early screening and access to orthopedic care is part of strengthening overall health systems."
Sepsis,"A life-threatening medical emergency. It's your body's overwhelming and extreme response to an infection. The infection-fighting processes turn on the body, causing organs to work poorly.","Sepsis is caused by an infection anywhere in the body. The most common infections that lead to sepsis are lung infections like pneumonia, urinary tract infections, skin infections, and gut infections. Any infection can lead to sepsis.","There is no single sign or symptom. It's a combination of symptoms, including fever or low temperature, rapid heart rate, rapid breathing, confusion or disorientation, and extreme pain or discomfort.","The best way to prevent sepsis is to prevent infections. This includes getting vaccinated, practicing good hygiene (hand washing), and getting prompt care if you develop signs of an infection. Managing chronic conditions also helps.","**Disclaimer:** Sepsis is a medical emergency that requires immediate treatment in a hospital, usually with intravenous antibiotics and fluids. There is no home treatment. It is critical to seek medical help immediately if sepsis is suspected.","Time matters in sepsis. The risk of death increases for every hour that treatment is delayed. Recognizing the early signs and seeking immediate care can save lives and improve outcomes. Anyone can get sepsis, but it's more common in the very young, the very old, and those with weakened immune systems.","WHO has made sepsis a global health priority. In 2017, the World Health Assembly adopted a resolution on improving the prevention, diagnosis, and management of sepsis. WHO provides guidance and tools to help countries improve sepsis care and reduce its devastating human and economic toll."
Sexually Transmitted Infections (STIs),"Infections that are passed from one person to another through sexual contact, including vaginal, anal, and oral sex. There are more than 30 different bacteria, viruses and parasites known to be transmitted sexually.","Caused by a variety of pathogens including bacteria (e.g., chlamydia, gonorrhea, syphilis), viruses (e.g., HIV, herpes, HPV), and parasites (e.g., trichomoniasis). They are transmitted through contact with semen, vaginal fluids, blood, or skin-to-skin contact with an infected area.","Symptoms vary widely and can include sores or bumps on the genitals or in the oral or rectal area, painful urination, discharge from the penis or vagina, unusual vaginal bleeding, and pelvic pain. Many STIs have no symptoms.","The most reliable way to avoid infection is to abstain from sexual activity or to be in a long-term mutually monogamous relationship with a partner who has been tested and is known to be uninfected. Consistent and correct use of condoms significantly reduces risk. Vaccination (e.g., for HPV and Hepatitis B) is also a key preventive measure.","**Disclaimer: STIs require medical diagnosis and treatment with antibiotics or antiviral medications.** There are no home remedies to cure STIs. Practicing safe sex, getting regular testing, and communicating openly with partners are essential parts of managing sexual health.","Many STIs are asymptomatic, so regular screening is crucial for anyone who is sexually active. Untreated STIs can lead to serious health complications like infertility, cancer, and increased risk of HIV transmission. Reducing stigma encourages testing and treatment.","WHO has a global health sector strategy on STIs aiming to end them as a public health concern. The strategy focuses on prevention through education and condoms, increased access to testing and diagnosis (including self-testing), and ensuring effective, affordable treatment."
Shigellosis,An infectious diarrheal disease caused by a group of bacteria called Shigella. It is very contagious and typically spreads in settings with poor hygiene.,"Caused by Shigella bacteria. It is transmitted via the fecal-oral route, either directly through person-to-person contact or indirectly through contaminated food, water, or surfaces. Only a very small number of bacteria are needed to cause an infection.","Diarrhea (often bloody), fever, and stomach cramps starting a day or two after exposure. The illness usually resolves in 5 to 7 days.","The best prevention is frequent and thorough handwashing with soap and water, especially after using the bathroom and before preparing food. Avoid swallowing water from ponds, lakes, or untreated swimming pools. When traveling in high-risk areas, drink only boiled or bottled water.","**Disclaimer: Severe cases may require antibiotics. See a doctor if there is high fever or blood in the stool.** The main focus of home care is to prevent dehydration. Drink plenty of fluids like water, oral rehydration solutions (ORS), or broths. Avoid anti-diarrhea medications as they can make the illness worse.","Shigellosis is easily spread, especially among young children in daycare settings. Good hygiene is the cornerstone of prevention. Awareness of food and water safety is also critical in preventing outbreaks.","WHO lists shigellosis as a major cause of diarrheal disease globally. Its guidelines focus on improving water, sanitation, and hygiene (WASH) to prevent transmission. It also promotes the use of oral rehydration therapy to manage dehydration and provides guidance on antibiotic use for severe cases."
Shingles (Herpes Zoster),"A viral infection that causes a painful rash. It is caused by the varicella-zoster virus, the same virus that causes chickenpox. After you've had chickenpox, the virus lies inactive in nerve tissue near your spinal cord and brain. Years later, it may reactivate as shingles.","Reactivation of the varicella-zoster virus in someone who has previously had chickenpox. The reason for reactivation is not fully understood but is linked to a weakened immune system due to age, stress, illness, or certain medications.","Pain, burning, numbness or tingling is usually the first symptom, followed a few days later by a red rash. A single stripe of fluid-filled blisters that wraps around either the left or the right side of your torso is the hallmark sign. Fever, headache, and fatigue can also occur.","The most effective way to prevent shingles is to get the shingles vaccine (recombinant zoster vaccine), which is recommended for adults 50 and older. Maintaining a healthy immune system through good nutrition and stress management may also help.","**Disclaimer: Antiviral medication is most effective when started within 72 hours of the rash appearing.** Home care focuses on symptom relief. Cool compresses, calamine lotion, and oatmeal baths can help relieve itching. Keep the rash clean and covered to prevent infection. Over-the-counter pain medication can help with discomfort.","You cannot catch shingles from someone who has it. However, a person with an active shingles rash can spread the varicella-zoster virus to someone who has never had chickenpox or the chickenpox vaccine, causing them to develop chickenpox. The vaccine is highly effective at preventing shingles and its most common complication, postherpetic neuralgia (long-term nerve pain).","WHO recommends the chickenpox vaccine as part of routine childhood immunization programs, which in turn reduces the number of people who can later develop shingles. It also provides guidance on the use of the shingles vaccine for older populations to prevent the disease and its complications."
Sickle Cell Anemia,"An inherited group of disorders that cause red blood cells to become misshapen (like a sickle or crescent moon) and break down. These cells die early, leaving a shortage of healthy red blood cells, and can block blood flow causing pain (sickle cell crises).","A genetic disorder caused by mutations in the gene that tells the body to make hemoglobin, the protein that carries oxygen in red blood cells. It is an autosomal recessive condition, meaning a person must inherit two copies of the defective gene, one from each parent.","Episodes of pain (pain crises), chronic fatigue due to anemia, swelling of hands and feet, frequent infections, delayed growth or puberty, and vision problems.","As a genetic disease, it cannot be prevented. Genetic counseling is important for carriers of the sickle cell trait who are planning to have children. Newborn screening is crucial for early diagnosis and management.","**Disclaimer: This is a serious chronic disease requiring lifelong medical supervision.** Home management involves preventing pain crises by avoiding triggers like dehydration, extreme temperatures, and over-exertion. Drinking plenty of fluids, taking prescribed medications like hydroxyurea, and using heating pads and over-the-counter pain relievers for mild pain are key.","Sickle cell anemia is a major global health problem, most common in people of African, Mediterranean, and South Asian descent. It is a lifelong illness, but with modern medical care, people can live longer, fuller lives. Blood donations from diverse communities are critically important for patients who require transfusions.","WHO recognizes sickle cell disease as a major public health issue and a priority noncommunicable disease. Its strategy focuses on supporting countries to develop national programs for prevention (genetic counseling), newborn screening, early diagnosis, and comprehensive care."
Sjogren’s Syndrome,"An autoimmune disorder characterized by its two most common symptoms — dry eyes and a dry mouth. The condition often accompanies other immune system disorders, such as rheumatoid arthritis and lupus.","The cause is unknown, but it is an autoimmune disease where the body's immune system mistakenly attacks its own cells, specifically the glands that produce tears and saliva. Genetic factors and potential viral triggers are thought to play a role.","The main symptoms are dry eyes (feeling like there's sand or grit in them) and dry mouth (difficulty swallowing or speaking). It can also cause fatigue, joint pain, and dryness in other areas like the skin and vagina. It may also damage other parts of thebody like the kidneys and lungs.",There is no known way to prevent Sjogren's syndrome. Early diagnosis and management are key to preventing complications like dental decay and eye damage.,"**Disclaimer: This condition requires medical management to control symptoms and prevent complications.** Home care includes sipping water frequently, chewing sugar-free gum or using saliva substitutes for dry mouth, and using over-the-counter artificial tears for dry eyes. A humidifier can add moisture to the air. Meticulous dental hygiene is essential to prevent cavities.","Sjogren's is a systemic disease that can affect the entire body. It is much more than just a nuisance of dry eyes and mouth. Awareness is important for early diagnosis, as symptoms can be mistaken for side effects of medication or aging.","WHO includes autoimmune diseases like Sjogren's syndrome under the umbrella of noncommunicable diseases. It promotes research and patient-centered care models for managing complex, chronic conditions that require multidisciplinary medical teams."
